query_type,query,col_1,col_2,df_command
Aggregation,Get the number of quantity values grouped by channel.,channel,quantity,df.groupby('channel')['quantity'].agg('count').reset_index()
Aggregation,Compute the minimum cost per region.,region,cost,df.groupby('region')['cost'].agg('min').reset_index()
Aggregation,Get the average cost grouped by month.,month,cost,df.groupby('month')['cost'].agg('mean').reset_index()
Aggregation,Give the median month for each month.,month,month,df.groupby('month')['month'].agg('median').reset_index()
Aggregation,Find standard deviation of profit grouped by store_id.,store_id,profit,df.groupby('store_id')['profit'].agg('std').reset_index()
Aggregation,Calculate the total expenses for each channel.,channel,expenses,df.groupby('channel')['expenses'].agg('sum').reset_index()
Aggregation,Find the maximum cost in every department.,department,cost,df.groupby('department')['cost'].agg('max').reset_index()
Aggregation,Compute the minimum cost per category.,category,cost,df.groupby('category')['cost'].agg('min').reset_index()
Aggregation,Show the sum of profit across city.,city,profit,df.groupby('city')['profit'].agg('sum').reset_index()
Aggregation,Find the maximum cost in every channel.,channel,cost,df.groupby('channel')['cost'].agg('max').reset_index()
Aggregation,Calculate the total tax for each city.,city,tax,df.groupby('city')['tax'].agg('sum').reset_index()
Aggregation,List the count of sales for each department.,department,sales,df.groupby('department')['sales'].agg('count').reset_index()
Aggregation,Give the median expenses for each customer_type.,customer_type,expenses,df.groupby('customer_type')['expenses'].agg('median').reset_index()
Aggregation,Calculate the total units_sold for each category.,category,units_sold,df.groupby('category')['units_sold'].agg('sum').reset_index()
Aggregation,Get the average store_id grouped by store_id.,store_id,store_id,df.groupby('store_id')['store_id'].agg('mean').reset_index()
Aggregation,Get the average cost grouped by product.,product,cost,df.groupby('product')['cost'].agg('mean').reset_index()
Aggregation,Find the maximum quantity in every channel.,channel,quantity,df.groupby('channel')['quantity'].agg('max').reset_index()
Aggregation,Find the maximum expenses in every channel.,channel,expenses,df.groupby('channel')['expenses'].agg('max').reset_index()
Aggregation,Get the number of order_value values grouped by customer_type.,customer_type,order_value,df.groupby('customer_type')['order_value'].agg('count').reset_index()
Aggregation,Show how many units_sold entries exist per month.,month,units_sold,df.groupby('month')['units_sold'].agg('count').reset_index()
Aggregation,Find standard deviation of discount grouped by store_id.,store_id,discount,df.groupby('store_id')['discount'].agg('std').reset_index()
Aggregation,Show how many quantity entries exist per department.,department,quantity,df.groupby('department')['quantity'].agg('count').reset_index()
Aggregation,Show the sum of units_sold across department.,department,units_sold,df.groupby('department')['units_sold'].agg('sum').reset_index()
Aggregation,Give the median sales for each category.,category,sales,df.groupby('category')['sales'].agg('median').reset_index()
Aggregation,Show how many units_sold entries exist per category.,category,units_sold,df.groupby('category')['units_sold'].agg('count').reset_index()
Aggregation,Show the sum of sales across department.,department,sales,df.groupby('department')['sales'].agg('sum').reset_index()
Aggregation,Calculate the total units_sold for each department.,department,units_sold,df.groupby('department')['units_sold'].agg('sum').reset_index()
Aggregation,Calculate the total discount for each department.,department,discount,df.groupby('department')['discount'].agg('sum').reset_index()
Aggregation,Show how many units_sold entries exist per month.,month,units_sold,df.groupby('month')['units_sold'].agg('count').reset_index()
Aggregation,List the count of units_sold for each channel.,channel,units_sold,df.groupby('channel')['units_sold'].agg('count').reset_index()
Aggregation,Find the maximum tax in every category.,category,tax,df.groupby('category')['tax'].agg('max').reset_index()
Aggregation,List the count of units_sold for each store_id.,store_id,units_sold,df.groupby('store_id')['units_sold'].agg('count').reset_index()
Aggregation,Find standard deviation of units_sold grouped by department.,department,units_sold,df.groupby('department')['units_sold'].agg('std').reset_index()
Aggregation,Get the average order_value grouped by city.,city,order_value,df.groupby('city')['order_value'].agg('mean').reset_index()
Aggregation,Find standard deviation of order_value grouped by store_id.,store_id,order_value,df.groupby('store_id')['order_value'].agg('std').reset_index()
Aggregation,Calculate the total region for each region.,region,region,df.groupby('region')['region'].agg('sum').reset_index()
Aggregation,Find standard deviation of discount grouped by department.,department,discount,df.groupby('department')['discount'].agg('std').reset_index()
Aggregation,Show the sum of units_sold across customer_type.,customer_type,units_sold,df.groupby('customer_type')['units_sold'].agg('sum').reset_index()
Aggregation,Show how many quantity entries exist per product.,product,quantity,df.groupby('product')['quantity'].agg('count').reset_index()
Aggregation,Find standard deviation of profit grouped by month.,month,profit,df.groupby('month')['profit'].agg('std').reset_index()
Aggregation,List the count of units_sold for each department.,department,units_sold,df.groupby('department')['units_sold'].agg('count').reset_index()
Aggregation,List the count of cost for each department.,department,cost,df.groupby('department')['cost'].agg('count').reset_index()
Aggregation,Calculate the total cost for each region.,region,cost,df.groupby('region')['cost'].agg('sum').reset_index()
Aggregation,Get the average units_sold grouped by product.,product,units_sold,df.groupby('product')['units_sold'].agg('mean').reset_index()
Aggregation,Find standard deviation of quantity grouped by store_id.,store_id,quantity,df.groupby('store_id')['quantity'].agg('std').reset_index()
Aggregation,Show the sum of order_value across region.,region,order_value,df.groupby('region')['order_value'].agg('sum').reset_index()
Aggregation,Find the maximum order_value in every region.,region,order_value,df.groupby('region')['order_value'].agg('max').reset_index()
Aggregation,Find standard deviation of expenses grouped by store_id.,store_id,expenses,df.groupby('store_id')['expenses'].agg('std').reset_index()
Aggregation,Compute the minimum order_value per channel.,channel,order_value,df.groupby('channel')['order_value'].agg('min').reset_index()
Aggregation,List the count of profit for each customer_type.,customer_type,profit,df.groupby('customer_type')['profit'].agg('count').reset_index()
Aggregation,Compute the minimum units_sold per region.,region,units_sold,df.groupby('region')['units_sold'].agg('min').reset_index()
Aggregation,Get the number of cost values grouped by region.,region,cost,df.groupby('region')['cost'].agg('count').reset_index()
Aggregation,Give the median sales for each region.,region,sales,df.groupby('region')['sales'].agg('median').reset_index()
Aggregation,Get the number of quantity values grouped by channel.,channel,quantity,df.groupby('channel')['quantity'].agg('count').reset_index()
Aggregation,Show how many profit entries exist per region.,region,profit,df.groupby('region')['profit'].agg('count').reset_index()
Aggregation,Show how many product entries exist per product.,product,product,df.groupby('product')['product'].agg('count').reset_index()
Aggregation,Get the average tax grouped by department.,department,tax,df.groupby('department')['tax'].agg('mean').reset_index()
Aggregation,Show the sum of order_value across department.,department,order_value,df.groupby('department')['order_value'].agg('sum').reset_index()
