query_type,query,df_command,col_1,col_2
Text/String Operations,Get rows where email field has the substring 'Manager'.,"df[df['email'].str.contains('Manager', case=False, na=False)]",email,
Text/String Operations,Find all values in city that end with 'com'.,"df[df['city'].str.endswith('com', na=False)]",city,
Text/String Operations,List all records where product_name includes 'tech'.,"df[df['product_name'].str.contains('tech', case=False, na=False)]",product_name,
Text/String Operations,Get rows where customer_name field has the substring 'Service'.,"df[df['customer_name'].str.contains('Service', case=False, na=False)]",customer_name,
Text/String Operations,Find all values in category that end with 'Manager'.,"df[df['category'].str.endswith('Manager', na=False)]",category,
Text/String Operations,Filter rows where product_name contains 'Service' substring.,"df[df['product_name'].str.contains('Service', case=False, na=False)]",product_name,
Text/String Operations,Filter rows where customer_name contains 'Service' substring.,"df[df['customer_name'].str.contains('Service', case=False, na=False)]",customer_name,
Text/String Operations,List all records where city includes 'tech'.,"df[df['city'].str.contains('tech', case=False, na=False)]",city,
Text/String Operations,Filter rows where city contains 'Store' substring.,"df[df['city'].str.contains('Store', case=False, na=False)]",city,
Text/String Operations,Find category values that contain 'Pro' case-insensitively.,"df[df['category'].str.contains('Pro', case=False, na=False)]",category,
Text/String Operations,List records where customer_name begins with 'Inc'.,"df[df['customer_name'].str.startswith('Inc', na=False)]",customer_name,
Text/String Operations,List all records where department includes 'Manager'.,"df[df['department'].str.contains('Manager', case=False, na=False)]",department,
Text/String Operations,Get rows where category field has the substring 'sales'.,"df[df['category'].str.contains('sales', case=False, na=False)]",category,
Text/String Operations,Get rows where department field has the substring 'Service'.,"df[df['department'].str.contains('Service', case=False, na=False)]",department,
Text/String Operations,Get rows where product_name field has the substring 'Inc'.,"df[df['product_name'].str.contains('Inc', case=False, na=False)]",product_name,
Text/String Operations,Find customer_name values that contain 'Manager' case-insensitively.,"df[df['customer_name'].str.contains('Manager', case=False, na=False)]",customer_name,
Text/String Operations,List all records where city includes 'Store'.,"df[df['city'].str.contains('Store', case=False, na=False)]",city,
